Entity,Code,Year,Total plastic pollution
Pakistan,PAK,2020,2567460.5
Palau,PLW,2020,194.92583
Palestine,PSE,2020,28427.477
Panama,PAN,2020,41212.562
Papua New Guinea,PNG,2020,129684.164
Paracel Islands,,2020,7.220044
Paraguay,PRY,2020,154546.8
Peru,PER,2020,270768.7
Philippines,PHL,2020,819842.6
Pitcairn Islands,,2020,0.8136741
Poland,POL,2020,7078.5864
Portugal,PRT,2020,1180.948
Puerto Rico,PRI,2020,1908.7838
Qatar,QAT,2020,170.95506
Reunion,REU,2020,391.6089
Romania,ROU,2020,141943.78
Russia,RUS,2020,1702453.5
Rwanda,RWA,2020,201068.48
Saint Barthelemy,BLM,2020,4.8199177
Saint Helena,SHN,2020,89.25071
Saint Kitts and Nevis,KNA,2020,43.03766
Saint Lucia,LCA,2020,1185.4702
Saint Martin (French part),MAF,2020,62.778923
Saint Pierre and Miquelon,SPM,2020,1.3890839
Saint Vincent and the Grenadines,VCT,2020,606.5665
Samoa,WSM,2020,2613.1377
San Marino,SMR,2020,4.6660194
Sao Tome and Principe,STP,2020,3680.9058
Saudi Arabia,SAU,2020,3443.9873
Senegal,SEN,2020,214610
Serbia,SRB,2020,126142.72
Seychelles,SYC,2020,121.333855
Sierra Leone,SLE,2020,59935.88
Singapore,SGP,2020,175.08664
Sint Maarten (Dutch part),SXM,2020,21.249859
Slovakia,SVK,2020,1086.7499
Slovenia,SVN,2020,524.88104
Solomon Islands,SLB,2020,8955.772
Somalia,SOM,2020,225304.84
South Africa,ZAF,2020,609756.6
South Korea,KOR,2020,2856.736
South Sudan,SSD,2020,215243.02
Spain,ESP,2020,6241.3403
Sri Lanka,LKA,2020,273779
Sudan,SDN,2020,529960.75
Suriname,SUR,2020,4199.2705
Svalbard and Jan Mayen,SJM,2020,0.7851937
Sweden,SWE,2020,918.42065
Switzerland,CHE,2020,730.79846
Syria,SYR,2020,328329.22
Taiwan,TWN,2020,1398.4253
Tajikistan,TJK,2020,156027.64
Tanzania,TZA,2020,778932.5
Thailand,THA,2020,995718.5
Togo,TGO,2020,99107.91
Tokelau,TKL,2020,15.991722
Tonga,TON,2020,1122.9636
Trinidad and Tobago,TTO,2020,6962.3477
Tunisia,TUN,2020,129722.945
Turkey,TUR,2020,486397.78
Turkmenistan,TKM,2020,70966.32
Turks and Caicos Islands,TCA,2020,23.769457
Tuvalu,TUV,2020,111.53728
Uganda,UGA,2020,617565.2
Ukraine,UKR,2020,417655.44
United Arab Emirates,ARE,2020,918.2473
United Kingdom,GBR,2020,4622.3643
United States,USA,2020,47648.973
United States Virgin Islands,VIR,2020,77.714134
Upper-middle-income countries,OWID_UMC,2020,14046225
Uruguay,URY,2020,960.5147
Uzbekistan,UZB,2020,395210.8
Vanuatu,VUT,2020,6209.453
Vatican,VAT,2020,0.026713695
Venezuela,VEN,2020,249863.66
Vietnam,VNM,2020,754958.9
Wallis and Futuna,WLF,2020,118.87374
Western Sahara,ESH,2020,4736.032
World,OWID_WRL,2020,52106292
Yemen,YEM,2020,327238.62
Zambia,ZMB,2020,215138.75
Zimbabwe,ZWE,2020,162871.44
